City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
675,Semey,KZ,80.82,scattered clouds,50.4111,80.2275,Grand Hotel Semey
679,Umm Lajj,SA,81.34,clear sky,25.0213,37.2685,Moon light Furnished Units
684,North Bend,US,83.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
685,Mouzouras,GR,75.2,clear sky,35.5333,24.15,Areti Suites
686,Bud,US,78.82,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
688,Ahuimanu,US,85.14,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
689,Haimen,CN,84.02,clear sky,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
690,Loralai,PK,79.68,clear sky,30.3705,68.598,Saddam Hotel & Resturant
691,Iquitos,PE,75.24,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
692,Kendari,ID,79.11,broken clouds,-3.945,122.4989,Hotel Wixel
694,Acarau,BR,77.5,few clouds,-2.8856,-40.12,castelo pizzaria
700,Port Moresby,PG,83.07,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
701,Maxcanu,MX,81.28,few clouds,20.5833,-89.9833,Albergue Comunitario San Miguel Arcangel
702,Maningrida,AU,83.98,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
